"np","S","I1","I2","gamma","alpha"
109,3726201.5,5278.3173828125,97.621955871582,1.27223634719849,1.33418798446655
110,3726201.5,5278.3173828125,97.621955871582,1.27223634719849,1.33418798446655
111,3736435.75,5308.14697265625,97.8199920654297,1.26471889019012,1.33333206176758
112,3752360,5198.646484375,95.7270584106445,1.20538294315338,1.33304762840271
113,3767901.25,5377.267578125,99.1344451904297,1.23117363452911,1.33336687088013
114,3767901.25,5377.267578125,99.1344451904297,1.23117363452911,1.33336687088013
115,3767901.25,5377.267578125,99.1344451904297,1.23117363452911,1.33336687088013
116,3767901.25,5377.267578125,99.1344451904297,1.23117363452911,1.33336687088013
117,3767901.25,5377.267578125,99.1344451904297,1.23117363452911,1.33336687088013
118,3767901.25,5377.267578125,99.1344451904297,1.23117363452911,1.33336687088013
119,3767901.25,5377.267578125,99.1344451904297,1.23117363452911,1.33336687088013
120,3767901.25,5377.267578125,99.1344451904297,1.23117363452911,1.33336687088013
121,3767901.25,5377.267578125,99.1344451904297,1.23117363452911,1.33336687088013
122,3767901.25,5377.267578125,99.1344451904297,1.23117363452911,1.33336687088013
123,3767901.25,5377.267578125,99.1344451904297,1.23117363452911,1.33336687088013
124,3767901.25,5377.267578125,99.1344451904297,1.23117363452911,1.33336687088013
125,3767901.25,5377.267578125,99.1344451904297,1.23117363452911,1.33336687088013
126,3778833.75,5478.0771484375,101.780380249023,1.25592148303986,1.33192205429077
127,3778833.75,5478.0771484375,101.780380249023,1.25592148303986,1.33192205429077
128,3778833.75,5478.0771484375,101.780380249023,1.25592148303986,1.33192205429077
129,3756309.25,5326.05517578125,98.7265090942383,1.2577793598175,1.33047759532928
130,3771648,5510.0087890625,101.978614807129,1.27773213386536,1.33000981807709
131,3788158.75,5607.82080078125,104.317565917969,1.28221797943115,1.33001017570496
132,3788158.75,5607.82080078125,104.317565917969,1.28221797943115,1.33001017570496
133,3788158.75,5607.82080078125,104.317565917969,1.28221797943115,1.33001017570496
134,3788158.75,5607.82080078125,104.317565917969,1.28221797943115,1.33001017570496
135,3788158.75,5607.82080078125,104.317565917969,1.28221797943115,1.33001017570496
136,3788158.75,5607.82080078125,104.317565917969,1.28221797943115,1.33001017570496
137,3788158.75,5607.82080078125,104.317565917969,1.28221797943115,1.33001017570496
138,3800220,5390.1298828125,99.9194030761719,1.19776737689972,1.33046925067902
139,3785351,5268.330078125,97.6991958618164,1.18328261375427,1.33151006698608
140,3801588,5372.5263671875,99.124641418457,1.17585563659668,1.33056688308716
141,3839611.25,5568.0859375,103.301681518555,1.17047715187073,1.33117771148682
142,3810014,5423.51171875,101.216789245605,1.18719375133514,1.33129775524139
143,3810014,5423.51171875,101.216789245605,1.18719375133514,1.33129775524139
144,3796336,5473.541015625,102.655654907227,1.21908152103424,1.33066082000732
145,3796336,5473.541015625,102.655654907227,1.21908152103424,1.33066082000732
146,3783558.75,5507.21533203125,103.113212585449,1.25330924987793,1.33179116249084
147,3761992.25,5275.95361328125,99.1485824584961,1.22605395317078,1.33119249343872
148,3761992.25,5275.95361328125,99.1485824584961,1.22605395317078,1.33119249343872
149,3815517.5,5513.966796875,103.178337097168,1.18884634971619,1.33346676826477
150,3815517.5,5513.966796875,103.178337097168,1.18884634971619,1.33346676826477
151,3771468,5300.1337890625,99.8534240722656,1.21931648254395,1.33364844322205
152,3771468,5300.1337890625,99.8534240722656,1.21931648254395,1.33364844322205
153,3771468,5300.1337890625,99.8534240722656,1.21931648254395,1.33364844322205
154,3771468,5300.1337890625,99.8534240722656,1.21931648254395,1.33364844322205
155,3771108.5,5176.72998046875,96.9925155639648,1.17026042938232,1.33587431907654
156,3771108.5,5176.72998046875,96.9925155639648,1.17026042938232,1.33587431907654
157,3771108.5,5176.72998046875,96.9925155639648,1.17026042938232,1.33587431907654
158,3771108.5,5176.72998046875,96.9925155639648,1.17026042938232,1.33587431907654
159,3771108.5,5176.72998046875,96.9925155639648,1.17026042938232,1.33587431907654
160,3771108.5,5176.72998046875,96.9925155639648,1.17026042938232,1.33587431907654
161,3808209.25,5360.46142578125,100.536338806152,1.15844976902008,1.33635306358337
162,3808209.25,5360.46142578125,100.536338806152,1.15844976902008,1.33635306358337
163,3808209.25,5360.46142578125,100.536338806152,1.15844976902008,1.33635306358337
164,3808209.25,5360.46142578125,100.536338806152,1.15844976902008,1.33635306358337
165,3808209.25,5360.46142578125,100.536338806152,1.15844976902008,1.33635306358337
166,3808209.25,5360.46142578125,100.536338806152,1.15844976902008,1.33635306358337
167,3816233.25,5384.92529296875,101.138618469238,1.1506519317627,1.33592355251312
168,3817055.5,5362.22509765625,100.539978027344,1.1483473777771,1.33552396297455
169,3867332.75,5751.29296875,107.181938171387,1.16247463226318,1.33549964427948
170,3863805,5642.31689453125,105.340072631836,1.14728605747223,1.33499777317047
171,3863805,5642.31689453125,105.340072631836,1.14728605747223,1.33499777317047
172,3849220.5,5638.396484375,104.692123413086,1.17284429073334,1.33553302288055
173,3849220.5,5638.396484375,104.692123413086,1.17284429073334,1.33553302288055
174,3815724.5,5417.94482421875,100.295234680176,1.16538035869598,1.33722519874573
175,3815724.5,5417.94482421875,100.295234680176,1.16538035869598,1.33722519874573
176,3815724.5,5417.94482421875,100.295234680176,1.16538035869598,1.33722519874573
177,3815724.5,5417.94482421875,100.295234680176,1.16538035869598,1.33722519874573
178,3815724.5,5417.94482421875,100.295234680176,1.16538035869598,1.33722519874573
179,3815724.5,5417.94482421875,100.295234680176,1.16538035869598,1.33722519874573
180,3815724.5,5417.94482421875,100.295234680176,1.16538035869598,1.33722519874573
181,3788818.75,5259.7353515625,97.279411315918,1.15968060493469,1.33726239204407
182,3785967,5320.509765625,99.5025482177734,1.1811945438385,1.33705186843872
183,3785967,5320.509765625,99.5025482177734,1.1811945438385,1.33705186843872
184,3785967,5320.509765625,99.5025482177734,1.1811945438385,1.33705186843872
185,3785967,5320.509765625,99.5025482177734,1.1811945438385,1.33705186843872
186,3785967,5320.509765625,99.5025482177734,1.1811945438385,1.33705186843872
187,3785967,5320.509765625,99.5025482177734,1.1811945438385,1.33705186843872
188,3785967,5320.509765625,99.5025482177734,1.1811945438385,1.33705186843872
189,3729967.25,4995.17041015625,93.3827972412109,1.19511997699738,1.33657515048981
190,3786412.5,5540.68310546875,103.997802734375,1.25106763839722,1.33754122257233
191,3811624.25,5849.94873046875,109.595809936523,1.28986644744873,1.33699679374695
192,3795026,5709.4423828125,106.558853149414,1.27754557132721,1.33665883541107
193,3795026,5709.4423828125,106.558853149414,1.27754557132721,1.33665883541107
194,3795026,5709.4423828125,106.558853149414,1.27754557132721,1.33665883541107
195,3795026,5709.4423828125,106.558853149414,1.27754557132721,1.33665883541107
196,3795026,5709.4423828125,106.558853149414,1.27754557132721,1.33665883541107
197,3795026,5709.4423828125,106.558853149414,1.27754557132721,1.33665883541107
198,3795026,5709.4423828125,106.558853149414,1.27754557132721,1.33665883541107
199,3795026,5709.4423828125,106.558853149414,1.27754557132721,1.33665883541107
200,3799415.75,5606.9462890625,104.286033630371,1.23961639404297,1.33552432060242
201,3799415.75,5606.9462890625,104.286033630371,1.23961639404297,1.33552432060242
202,3790547.25,5477.94287109375,102.036903381348,1.2159538269043,1.33597815036774
203,3790547.25,5477.94287109375,102.036903381348,1.2159538269043,1.33597815036774
204,3794597,5342.4443359375,99.5897521972656,1.17793011665344,1.33631896972656
205,3781795,5247.5634765625,97.8969192504883,1.17318320274353,1.33655536174774
206,3781795,5247.5634765625,97.8969192504883,1.17318320274353,1.33655536174774
207,3781795,5247.5634765625,97.8969192504883,1.17318320274353,1.33655536174774
208,3781795,5247.5634765625,97.8969192504883,1.17318320274353,1.33655536174774
209,3777338.5,5228.53125,97.7044525146484,1.17346251010895,1.33725214004517
210,3804021.25,5316.63232421875,99.4109344482422,1.15319240093231,1.33700406551361
211,3804021.25,5316.63232421875,99.4109344482422,1.15319240093231,1.33700406551361
212,3804021.25,5316.63232421875,99.4109344482422,1.15319240093231,1.33700406551361
213,3804021.25,5316.63232421875,99.4109344482422,1.15319240093231,1.33700406551361
214,3804021.25,5316.63232421875,99.4109344482422,1.15319240093231,1.33700406551361
215,3804021.25,5316.63232421875,99.4109344482422,1.15319240093231,1.33700406551361
216,3804021.25,5316.63232421875,99.4109344482422,1.15319240093231,1.33700406551361
217,3804021.25,5316.63232421875,99.4109344482422,1.15319240093231,1.33700406551361
218,3804021.25,5316.63232421875,99.4109344482422,1.15319240093231,1.33700406551361
219,3804021.25,5316.63232421875,99.4109344482422,1.15319240093231,1.33700406551361
220,3804021.25,5316.63232421875,99.4109344482422,1.15319240093231,1.33700406551361
221,3804021.25,5316.63232421875,99.4109344482422,1.15319240093231,1.33700406551361
222,3804021.25,5316.63232421875,99.4109344482422,1.15319240093231,1.33700406551361
223,3804021.25,5316.63232421875,99.4109344482422,1.15319240093231,1.33700406551361
224,3804021.25,5316.63232421875,99.4109344482422,1.15319240093231,1.33700406551361
225,3798872,5458.47705078125,100.960754394531,1.19539153575897,1.33557784557343
226,3798872,5458.47705078125,100.960754394531,1.19539153575897,1.33557784557343
227,3790676.5,5459.00634765625,100.637649536133,1.20813047885895,1.3372243642807
228,3790676.5,5459.00634765625,100.637649536133,1.20813047885895,1.3372243642807
229,3749668.25,5289.74609375,97.7068939208984,1.23388636112213,1.33720135688782
230,3749668.25,5289.74609375,97.7068939208984,1.23388636112213,1.33720135688782
231,3699610.25,4767.6181640625,87.9214630126953,1.16642653942108,1.33824396133423
232,3699610.25,4767.6181640625,87.9214630126953,1.16642653942108,1.33824396133423
233,3704577.25,4898.60400390625,90.5657272338867,1.20238983631134,1.33852183818817
234,3694830,4918.88330078125,91.4320220947266,1.23594057559967,1.3389949798584
235,3683445.75,4735.64404296875,88.7436599731445,1.20889580249786,1.33894026279449
236,3663746.75,4564.15087890625,84.6577606201172,1.17835938930511,1.3396897315979
237,3672930.25,4640.5380859375,85.9352340698242,1.18428981304169,1.34004855155945
238,3684904.5,4754.1611328125,87.8593521118164,1.19769024848938,1.33994972705841
239,3684904.5,4754.1611328125,87.8593521118164,1.19769024848938,1.33994972705841
240,3684904.5,4754.1611328125,87.8593521118164,1.19769024848938,1.33994972705841
241,3684904.5,4754.1611328125,87.8593521118164,1.19769024848938,1.33994972705841
242,3684904.5,4754.1611328125,87.8593521118164,1.19769024848938,1.33994972705841
243,3684904.5,4754.1611328125,87.8593521118164,1.19769024848938,1.33994972705841
244,3684904.5,4754.1611328125,87.8593521118164,1.19769024848938,1.33994972705841
245,3684904.5,4754.1611328125,87.8593521118164,1.19769024848938,1.33994972705841
246,3684904.5,4754.1611328125,87.8593521118164,1.19769024848938,1.33994972705841
247,3684904.5,4754.1611328125,87.8593521118164,1.19769024848938,1.33994972705841
248,3684904.5,4754.1611328125,87.8593521118164,1.19769024848938,1.33994972705841
249,3684904.5,4754.1611328125,87.8593521118164,1.19769024848938,1.33994972705841
250,3684904.5,4754.1611328125,87.8593521118164,1.19769024848938,1.33994972705841
251,3684904.5,4754.1611328125,87.8593521118164,1.19769024848938,1.33994972705841
252,3684904.5,4754.1611328125,87.8593521118164,1.19769024848938,1.33994972705841
253,3684904.5,4754.1611328125,87.8593521118164,1.19769024848938,1.33994972705841
254,3684904.5,4754.1611328125,87.8593521118164,1.19769024848938,1.33994972705841
255,3684904.5,4754.1611328125,87.8593521118164,1.19769024848938,1.33994972705841
256,3684904.5,4754.1611328125,87.8593521118164,1.19769024848938,1.33994972705841
257,3684904.5,4754.1611328125,87.8593521118164,1.19769024848938,1.33994972705841
258,3698145.5,4852.51708984375,89.083869934082,1.19789624214172,1.33906221389771
259,3700995.75,4937.81494140625,90.8026351928711,1.21605885028839,1.33843874931335
260,3676234.75,4826.0849609375,89.1886672973633,1.23257780075073,1.33790552616119
261,3686928,4862.47802734375,89.7587203979492,1.22529590129852,1.33880710601807
262,3686928,4862.47802734375,89.7587203979492,1.22529590129852,1.33880710601807
263,3696599.75,4804.27978515625,88.6077499389648,1.18835711479187,1.33925580978394
264,3696599.75,4804.27978515625,88.6077499389648,1.18835711479187,1.33925580978394
265,3696599.75,4804.27978515625,88.6077499389648,1.18835711479187,1.33925580978394
266,3696599.75,4804.27978515625,88.6077499389648,1.18835711479187,1.33925580978394
267,3701076,4871.66796875,90.0414428710938,1.19921159744263,1.3390918970108
268,3701076,4871.66796875,90.0414428710938,1.19921159744263,1.3390918970108
269,3701076,4871.66796875,90.0414428710938,1.19921159744263,1.3390918970108
270,3701076,4871.66796875,90.0414428710938,1.19921159744263,1.3390918970108
271,3701076,4871.66796875,90.0414428710938,1.19921159744263,1.3390918970108
272,3701076,4871.66796875,90.0414428710938,1.19921159744263,1.3390918970108
273,3701076,4871.66796875,90.0414428710938,1.19921159744263,1.3390918970108
274,3701076,4871.66796875,90.0414428710938,1.19921159744263,1.3390918970108
275,3701076,4871.66796875,90.0414428710938,1.19921159744263,1.3390918970108
276,3701076,4871.66796875,90.0414428710938,1.19921159744263,1.3390918970108
277,3701076,4871.66796875,90.0414428710938,1.19921159744263,1.3390918970108
278,3701076,4871.66796875,90.0414428710938,1.19921159744263,1.3390918970108
279,3701076,4871.66796875,90.0414428710938,1.19921159744263,1.3390918970108
280,3701076,4871.66796875,90.0414428710938,1.19921159744263,1.3390918970108
281,3701076,4871.66796875,90.0414428710938,1.19921159744263,1.3390918970108
282,3701076,4871.66796875,90.0414428710938,1.19921159744263,1.3390918970108
283,3701076,4871.66796875,90.0414428710938,1.19921159744263,1.3390918970108
284,3701076,4871.66796875,90.0414428710938,1.19921159744263,1.3390918970108
285,3701076,4871.66796875,90.0414428710938,1.19921159744263,1.3390918970108
286,3701076,4871.66796875,90.0414428710938,1.19921159744263,1.3390918970108
287,3701076,4871.66796875,90.0414428710938,1.19921159744263,1.3390918970108
288,3701076,4871.66796875,90.0414428710938,1.19921159744263,1.3390918970108
289,3701076,4871.66796875,90.0414428710938,1.19921159744263,1.3390918970108
290,3701076,4871.66796875,90.0414428710938,1.19921159744263,1.3390918970108
291,3701076,4871.66796875,90.0414428710938,1.19921159744263,1.3390918970108
292,3701076,4871.66796875,90.0414428710938,1.19921159744263,1.3390918970108
293,3701076,4871.66796875,90.0414428710938,1.19921159744263,1.3390918970108
294,3665553,4770.353515625,88.5283737182617,1.23350727558136,1.34045970439911
295,3675854.75,4958.14306640625,91.1760177612305,1.25922560691833,1.34242904186249
296,3675309.5,4881.41796875,90.4292755126953,1.24756121635437,1.34266698360443
297,3675309.5,4881.41796875,90.4292755126953,1.24756121635437,1.34266698360443
298,3675309.5,4881.41796875,90.4292755126953,1.24756121635437,1.34266698360443
299,3675309.5,4881.41796875,90.4292755126953,1.24756121635437,1.34266698360443
300,3663451,4700.47705078125,86.7424240112305,1.20164155960083,1.34327042102814
301,3649962.5,4618.26806640625,85.7858200073242,1.20563507080078,1.34284639358521
302,3646823,4638.22705078125,85.8708877563477,1.21420049667358,1.34450030326843
303,3708518,4950.9130859375,90.7600021362305,1.1838960647583,1.34423041343689
304,3708518,4950.9130859375,90.7600021362305,1.1838960647583,1.34423041343689
305,3708518,4950.9130859375,90.7600021362305,1.1838960647583,1.34423041343689
306,3704280.75,4953.28662109375,90.7299194335938,1.19911444187164,1.34255933761597
307,3704280.75,4953.28662109375,90.7299194335938,1.19911444187164,1.34255933761597
308,3704280.75,4953.28662109375,90.7299194335938,1.19911444187164,1.34255933761597
309,3704280.75,4953.28662109375,90.7299194335938,1.19911444187164,1.34255933761597
310,3720469.75,4943.47314453125,90.281982421875,1.1657018661499,1.34308123588562
311,3720469.75,4943.47314453125,90.281982421875,1.1657018661499,1.34308123588562
312,3720616,4970.2587890625,90.9686050415039,1.17270731925964,1.34482645988464
313,3720616,4970.2587890625,90.9686050415039,1.17270731925964,1.34482645988464
314,3720616,4970.2587890625,90.9686050415039,1.17270731925964,1.34482645988464
315,3675903.75,4708.8974609375,86.1416854858398,1.17702746391296,1.34546911716461
316,3675383.25,4790.93212890625,88.8143157958984,1.19542837142944,1.3470253944397
317,3701986.5,4975.45361328125,92.5347061157227,1.20958924293518,1.3461731672287
318,3701986.5,4975.45361328125,92.5347061157227,1.20958924293518,1.3461731672287
319,3695211,5063.318359375,93.1858139038086,1.24415171146393,1.34623169898987
320,3655443.25,4760.33203125,87.5480117797852,1.22420179843903,1.34859788417816
321,3652650.5,4560.0048828125,84.2111358642578,1.18530750274658,1.34736430644989
322,3700290.75,4872.5615234375,90.1204605102539,1.18241739273071,1.34855616092682
323,3700290.75,4872.5615234375,90.1204605102539,1.18241739273071,1.34855616092682
324,3700290.75,4872.5615234375,90.1204605102539,1.18241739273071,1.34855616092682
325,3700290.75,4872.5615234375,90.1204605102539,1.18241739273071,1.34855616092682
326,3700290.75,4872.5615234375,90.1204605102539,1.18241739273071,1.34855616092682
327,3700290.75,4872.5615234375,90.1204605102539,1.18241739273071,1.34855616092682
328,3700290.75,4872.5615234375,90.1204605102539,1.18241739273071,1.34855616092682
329,3700290.75,4872.5615234375,90.1204605102539,1.18241739273071,1.34855616092682
330,3700290.75,4872.5615234375,90.1204605102539,1.18241739273071,1.34855616092682
331,3700290.75,4872.5615234375,90.1204605102539,1.18241739273071,1.34855616092682
332,3700290.75,4872.5615234375,90.1204605102539,1.18241739273071,1.34855616092682
333,3725843.25,5035.90283203125,92.9848709106445,1.18634796142578,1.34871172904968
334,3710017.75,5017.42041015625,91.9013214111328,1.20679807662964,1.34866786003113
335,3738596.75,5278.146484375,96.8640823364258,1.21425926685333,1.3491872549057
336,3755576,5215.27734375,95.930290222168,1.1726359128952,1.34920918941498
337,3755576,5215.27734375,95.930290222168,1.1726359128952,1.34920918941498
338,3771803.5,5378.05859375,98.888069152832,1.19610738754272,1.34767878055573
339,3771803.5,5378.05859375,98.888069152832,1.19610738754272,1.34767878055573
340,3771803.5,5378.05859375,98.888069152832,1.19610738754272,1.34767878055573
341,3791550,5467.61376953125,100.131767272949,1.17749989032745,1.34739685058594
342,3778055.25,5237.33837890625,96.3582458496094,1.15054202079773,1.34742820262909
343,3778055.25,5237.33837890625,96.3582458496094,1.15054202079773,1.34742820262909
344,3794385.25,5220.4677734375,96.3129653930664,1.12008929252625,1.34653556346893
345,3804567.5,5344.0986328125,98.2426681518555,1.12895631790161,1.34616959095001
346,3806047.75,5580.18701171875,102.93465423584,1.19580912590027,1.3466876745224
347,3791233.25,5644.640625,103.885322570801,1.23115801811218,1.34897446632385
348,3762250.25,5488.94677734375,101.144088745117,1.25011324882507,1.34652495384216
349,3784490.25,5536.9013671875,101.394485473633,1.2080956697464,1.34714472293854
350,3764812.25,5293.5517578125,96.8380279541016,1.18158149719238,1.34720826148987
351,3764812.25,5293.5517578125,96.8380279541016,1.18158149719238,1.34720826148987
352,3764812.25,5293.5517578125,96.8380279541016,1.18158149719238,1.34720826148987
353,3764812.25,5293.5517578125,96.8380279541016,1.18158149719238,1.34720826148987
354,3764812.25,5293.5517578125,96.8380279541016,1.18158149719238,1.34720826148987
355,3726323.75,5064.8974609375,92.8791046142578,1.18814015388489,1.34733104705811
356,3726323.75,5064.8974609375,92.8791046142578,1.18814015388489,1.34733104705811
357,3780577.5,5346.0517578125,99.13037109375,1.17454946041107,1.34641313552856
358,3733800.5,4934.51513671875,91.1594772338867,1.14553022384644,1.34697473049164
